number,text
footnote 576,"Tum ſumma cura eſt fratribus(Ut ſermo teſtatur loquax.)Offerre, fundis venditisSeſtertiorum millia.Addicta avorum praediaFoedis ſub auctionibus,Succeſſor exheres gemitSanctis egens Parentibus.Haec occuluntur abditisEccleſiarum in Angulis:Et ſumma piet as crediturNudare dulces liberos.Prudent.〈 in non-Latin alphabet 〉. Hymn. 2. The ſubſequent conduct of the deacon Laurence, only proves how proper a uſe was made of the wealth of the Roman church; it was undoubtedly very conſiderable; but Fra-Paolo (c. 3.) appears to exaggerate, when he ſuppoſes, that the ſucceſſors of Commodus were urged to perſecute the Chriſtians by their own avarice, or that of their Praetorian praefects."
footnote 577,Cyprian. Epiſtol. 62.
footnote 578,"Tertullian de Preſcriptione, c. 30."
footnote 579,"Diocletian gave a reſcript, which is only a declaration of the old law; ""Collegium, ſi nullo ſpeciali privilegio ſubnixum ſit, haereditatem capere non poſſe, dubium non eſt."" Fra-Paolo (c. 4.) thinks that theſe regulations had been much neglected ſince the reign of Valerian."
footnote 580,"Hiſt. Auguſt. p. 131. The ground had been public; and was now diſputed between the ſociety of Chriſtians, and that of butchers."
footnote 581,Conſtitut. Apoſtol. ii. 35.
footnote 582,"Cyprian de Lapſis, p. 89. Epiſtol. 65. The charge is confirmed by the 19th and 20th canon of the council of Illiberis."
footnote 583,"See the apologies of Juſtin, Tertullian, &c."
footnote 584,"The wealth and liberality of the Romans to their moſt diſtant brethren, is gratefully celebrated by Dionyſius of Corinth, ap. Euſeb. l. iv. c. 23."
footnote 585,"See Lucian in Peregrin. Julian (Epiſt. 49.) ſeems mortified, that the Chriſtian charity maintains not only their own, but likewiſe the heathen poor."
footnote 586,"Such, at leaſt, has been the laudable conduct of more modern miſſionaries, under the ſame circumſtances. Above three thouſand new-born infants are annually expoſed in the ſtreets of Pekin. See Le Comte Memoires ſur la Chine, and the Recherches ſur les Chinois et les Egyptiens, tom. i. p. 61."
footnote 587,"The Montaniſts and the Novatians, who adhered to this opinion with the greateſt rigour and obſtinacy, foundthemſelvesat laſt in the number of excommunicated heretics. See the learned and copious Moſheim, Secul. ii. and iii."
footnote 588,"Dionyſius ap. Euſeb. iv. 23. Cyprian, de Lapſis."
footnote 589,"Cave's Primitive Chriſtianity, part iii. c. 5. The admirers of antiquity regret the loſs of this public penance."
footnote 590,"See in Dupin, Bibliothèque Eccleſiaſtique, tom. ii. p. 304—313, a ſhort but rational expoſition of the canons of thoſe councils, which were aſſembled in the firſt moments of tranquillity, after the perſecution of Diocletian. This perſecution had been much leſs ſeverely felt in Spain than in Galatia; a difference which may, in ſome meaſure, account for the contraſt of their regulations."
footnote 591,Cyprian. Epiſt. 69.
footnote 592,"The arts, the manners, and the vices of the prieſts of the Syrian goddeſs, are very humourouſly deſcribed by Apuleius, in the eighth book of his Metamorphoſes."
footnote 593,"The office of Aſiarch was of this nature, and it is frequently mentioned in Ariſtides, the Inſcriptions, &c. It was annual and elective. None but the vaineſt citizens could deſire the honour; none but the moſt wealthy could ſupport the expence. See in the Patres Apoſtol. tom. ii. p. 200. with how much indifference Philip the Aſiarch conducted himſelf in the martyrdom of Polycarp. There were likewiſe Bithyniarchs, Lyciarchs, &c."
footnote 594,"The modern critics are not diſpoſed to believe what the fathers almoſt unanimouſly aſſert, that St. Matthew compoſed a Hebrew goſpel, of which only the Greek tranſlation is extant. It ſeems, however, dangerous to reject their teſtimony."
footnote 595,"Under the reigns of Nero and Domitian, and in the cities of Alexandria, Antioch, Rome, and Epheſus. See Mill. Prolegomena ad Nov. Teſtament. and Dr. Lardner's fair and extenſive collection, vol. xv."
footnote 596,"The Alogians (Epiphanius de Haereſ. 51.) diſputed the genuineneſs of the Apocalypſe, becauſe the church of Thyatira was not yet founded. Epiphanius, who allows the fact, extricates himſelf from the difficulty, by ingeniouſly ſuppoſing, that St. John wrote in the ſpirit of prophecy. See Abauzit Diſcours ſur l'Apocalypſe."
footnote 597,The epiſtles of Ignatius and Dionyſius (ap. Euſeb. iv. 23.) point out many churches in Aſia and Greece. That of Athens ſeems to have been one of the leaſt flouriſhing.
footnote 598,"Lucian in Alexandro, c. 25. Chriſtianity however muſt have been very unequally diffuſed over Pontus; ſince in the middle of the third century there were no more than ſeventeen believers in the extenſive dioceſe of Neo-Caeſarea. See M. de Tillemont, Memoires Eccleſiaſt. tom. iv. p. 675. from Baſil and Gregory of Nyſſa, who were themſelves natives of Cappadocia."
footnote 599,"According to the ancients, Jeſus Chriſt ſuffered under the conſulſhip of the two Gemini, in the year 29 of our preſent aera. Pliny was ſent into Bithynia (according to Pagi) in the year 110."
footnote 600,Plin. Epiſt. x. 97.
footnote 601,"Chryſoſtom. Opera, tom. vii. p. 658. 810."
footnote 602,"John Malela, tom. ii. p. 144. He draws the ſame concluſion with regard to the populouſneſs of Antioch."
footnote 603,"Chryſoſtom. tom. i. p. 592. I am indebted for theſe paſſages, though not for my inference, to the learned Dr. Lardner. Credibility of the Goſpel Hiſtory, vol. xii. p. 370."
footnote 604,"Baſnage, Hiſtoire des Juifs, l. 2. c. 20, 21, 22, 23. has examined, with the moſt critical accuracy, the curious treatiſe of Philo, which deſcribes the Therapeutae. By proving that it was compoſed as early as the time of Auguſtus, Baſnage has demonſtrated, in ſpite of Euſebius (l. ii. c. 17.), and a crowd of modern Catholics, that the Therapeutae were neither Chriſtians nor monks. It ſtill remains probable that they changed their name, preſerved their manners, adopted ſome new articles of faith, and gradually became the fathers of the Egyptian Aſcetics."
footnote 605,"See a letter of Hadrian, in the Auguſtan Hiſtory, p. 245."
footnote 606,"For the ſucceſſion of Alexandrian biſhops, conſult Renaudot's Hiſtory, p. 24, &c. This curious fact is preſerved by the patriarch Eutychius (Annal. tom. i. p. 334. Verſ. Pocock), and its internal evidence would alone be a ſufficient anſwer to all the objections which Biſhop Pearſon has urged in the Vindiciae Ignatianae."
footnote 607,Ammian. Marcellin. xxii. 16.
footnote 608,"Origen contra Celſum, l. i. p. 40."
footnote 609,"Ingens multitudo is the expreſſion of Tacitus, xv. 44."
footnote 610,"T. Liv. xxxix. 13. 15, 16, 17. Nothing could exceed the horror and conſternation of the ſenate on the diſcovery of the Bacchanalians, whoſe depravity is deſcribed, and perhaps exaggerated, by Livy."
footnote 611,"Euſebius, l. vi. c. 43. The Latin tranſlator (M. de Valois) has though proper to reduce the number of preſbyters to fortyfour."
footnote 612,"This proportion of the preſbyters and of the poor, to the reſt of the people, was originally fixed by Burnet (Travels into Italy, p. 168), and is approved by Moyle (vol. ii. p. 151.). They were both unacquainted with the paſſage of Chryſoſtom, which converts their conjecture almoſt into a fact."
footnote 613,"Serius trans Alpes, religione Dei ſuſceptâ. Sulpicius Severus, l. ii. Theſe were the celebrated martyrs of Lyons. See Euſebius, v. 1. Tillemont, Mem. Eccleſiaſt. tom. ii. p. 316. According to the Donatiſts, whoſe aſſertion is confirmed by the tacit acknowledgment of Auguſtin, Africa was the laſt of the provinces which received the goſpel. Tillemont, Mem. Eccleſiaſt. tom. i. p. 754."
footnote 614,"Tum primum intra Gallias martyria viſa. Sulp. Severus, l. ii. With regard to Africa, ſee Tertullian ad Scapulam, c. 3. It is imagined, that the Scyllitan martyrs were the firſt (Acta Sincera Ruinart. p. 34.). One of the adverſaries of Apuleius ſeems to have been a Chriſtian. Apolog. p. 496, 497. Edit. Delphin."
footnote 615,"Rarae in aliquibus civitatibus eccleſiae, paucorum Chriſtianorum devotione, reſurgerent. Acta Sincera, p. 130. Gregory of Tours, l. i. c. 28. Moſheim, p. 207. 449. There is ſome reaſon to believe, that, in the beginning of the fourth century, the extenſive dioceſes of Liege, of Treves, and of Cologne, compoſed a ſingle biſhopric, which had been very recently founded, See Memoires de Tillemont, tom. vi. part i. p. 43. 411."
footnote 616,"The date of Tertullian's Apology is fixed, in a diſſertation of Moſheim, to the year 198."
footnote 617,"In the fifteenth century, there were few who had either inclination or courage to queſtion whether Joſeph of Arimathea founded the monaſtery of Glaſtenbury, and whether Dionyſius the Areopagite preferred the reſidence of Paris to that of Athens."
footnote 618,"The ſtupendous metamorphoſis was performed in the ninth century. See Mariana (Hiſt. Hiſpan. l. vii. c. 13. tom. i. p. 285. edit. Hag. Com. 1733.), who, in every ſenſe, imitates Livy, and the honeſt detection of the legend of St. James by Dr. Geddes, Miſcellanies, vol. ii. p. 221."
footnote 619,"Juſtin Martyr, Dialog. cum Tryphon. p. 341. Irenaeus adv. Haereſ. l. i. c. 10. Tertullian adv. Jud. c. 7. See Moſheim, p. 203."
footnote 620,"See the fourth century of Moſheim's Hiſtory of the Church. Many, though very confuſed circumſtances, that relate to the converſion of Iberia and Armenia, may be found in Moſes of Chorene, l. ii. c. 78—89."
footnote 621,"According to Tertullian, the Chriſtian faith had penetrated into parts of Britain inacceſſible to the Roman arms. About a century afterwards, Oſſian, the ſon of Fingal, isſaidto have diſputed, in his extreme old age, with one of the foreign miſſionaries, and the diſpute is ſtill extant, in verſe, and in the Erſe language. See Mr. Macpherſon's Diſſertation on the Antiquity of Oſſian's Poems, p. 10."
footnote 622,"The Goths, who ravaged Aſia in the reign of Gallienus, carried away great numbers of captives; ſome of whom were Chriſtians, and became miſſionaries. See Tillemont, Memoires Eccleſiaſt. tom. iv. p. 44."
footnote 623,"The legend of Abgarus, fabulous as it is, affords a deciſive proof, that many years before Euſebius wrote his hiſtory, the greateſt part of the inhabitants of Edeſſa had embraced Chriſtianity. Their rivals, the citizens of Carrhae, adhered, on the contrary, to the cauſe of Paganiſm, as late as the ſixth century."
footnote 624,"According to Bardeſanes (ap. Euſeb. Praepar. Evangel.) there were ſome Chriſtians in Perſia before the end of the ſecond century. In the time of Conſtantine (ſee his Epiſtle to Sapor, Vit. l. iv. c. 13.) they compoſed a flouriſhing church. Conſult Beauſobre, Hiſt. Critique du Manicheiſme, tom. i. p. 180. and the Bibliotheca Orientalis of Aſſemani."
footnote 625,"Origen contra Celſum, l. viii. p. 424."
footnote 626,"Minucius Foelix, c. 8. with Wowerus's notes. Celſus ap. Origen, l. iii. p. 138. 142. Julian ap. Cyril. l. vi. p. 206. Edit. Spanheim."
footnote 627,Euſeb. Hiſt. Eccleſ. iv. 3. Hieronym. Epiſt. 83.
footnote 628,"The ſtory is prettily told in Juſtin's Dialogues. Tillemont (Mem. Eccleſiaſt. tom. ii. p. 334.), who relates it after him, is ſure that the old man was a diſguiſed angel."
footnote 629,"Euſebius, v. 28. It may be hoped, that none, except the heretics, gave occaſion to the complaint of Celſus (ap. Origen, l. ii. p. 77.), that the Chriſtians were perpetually correcting and altering their Goſpels."
footnote 630,"Plin. Epiſt. x. 97. Fuerunt alii ſimilis amentiae, cives Romani—Multi enim omnis aetatis,omnis ordinis,utriuſque ſexûs, etiam vocantur in periculum et vocabuntur."
footnote 631,Tertullian ad Scapulam. Yet even his rhetoric riſes no higher than to claim atenthpart of Carthage.
footnote 632,Cyprian. Epiſt. 79.
footnote 633,"Dr. Lardner, in his firſt and ſecond volume of Jewiſh and Chriſtian teſtimonies, collects and illuſtrates thoſe of Pliny the younger, of Tacitus, of Galen, of Marcus Antoninus, and perhaps of Epictetus (for it is doubtful whether that philoſopher means to ſpeak of the Chriſtians). The new ſect is totally unnoticed by Seneca, the elder Pliny, and Plutarch."
